cell_type1,full_name,cell_ontology_class,cell_ontology_id,remark,study
MedSC,medial supporting cells,supporting cell of cochlea,CL:0002315,exact,Burns
LatSCa,lateral supporting cells a,supporting cell of cochlea,CL:0002315,exact,Burns
LatSCb,lateral supporting cells b,supporting cell of cochlea,CL:0002315,exact,Burns
NSC (i),non-sensory cells (i),epithelial cell,CL:0000066,larger than exact,Burns
NSC (ii),non-sensory cells (ii),epithelial cell,CL:0000066,larger than exact,Burns
SC,supporting cells,supporting cell of cochlea,CL:0002315,exact,Burns
HC,hair cells,auditory hair cell,CL:0000202,exact,Burns
TEC,transitional epithelial cells,transitional epithelial cell,CL:0000244,exact,Burns
SC (i),supporting cells (i),sensory neuron,CL:0000101,larger than exact,Burns
SC (ii),supporting cells (ii),sensory neuron,CL:0000101,larger than exact,Burns
HC (i),hair cells (i),auditory hair cell,CL:0000202,exact,Burns
HC (ii),hair cells (ii),auditory hair cell,CL:0000202,exact,Burns
HC (iii-iv),hair cells (iii-iv),auditory hair cell,CL:0000202,exact,Burns
